user_id,movie_id,rating,genre_id
6,25,5,2
19,2,2,2
14,18,4,3
10,19,2,5
7,31,3,5
6,6,1,1
18,40,3,12
10,32,4,0
10,39,2,6
3,38,2,11
7,17,5,2
2,39,2,6
1,0,5,0
11,10,1,4
5,27,4,2
1,24,5,3
0,49,1,2
11,30,2,9
9,41,2,13
14,6,5,1
18,25,1,2
11,47,5,0
19,48,5,1
2,1,5,1
4,0,3,0
18,47,4,0
6,11,2,0
8,4,3,2
6,36,5,10
17,31,1,5
3,8,5,3
13,40,4,12
17,34,5,3
8,18,1,3
1,47,4,0
19,15,5,4
14,2,4,2
6,19,2,5
14,23,4,7
2,10,1,4
13,48,5,1
16,7,2,4
3,35,2,1
17,37,5,4
7,39,4,6
3,19,2,5
1,34,4,3
5,47,2,0
3,34,3,3
17,24,2,3
11,28,1,1
1,17,5,2
9,45,5,2
3,17,4,2
13,1,2,1
15,34,1,3
14,15,4,4
7,40,3,12
13,35,4,1
7,32,4,0
17,13,4,5
14,20,1,1
12,47,1,0
8,19,5,5
14,7,3,4
12,6,3,1
0,2,5,2
6,16,4,1
0,47,1,0
11,11,1,0
7,21,2,6
10,21,3,6
18,45,4,2
16,29,5,4
7,37,5,4
2,37,4,4
2,44,2,8
0,7,5,4
4,26,3,8
9,26,2,8
6,33,3,0
8,20,1,1
6,29,2,4
8,32,5,0
7,27,2,2
11,46,2,3
1,32,2,0
0,4,2,2
15,47,3,0
4,18,1,3
2,3,4,3
11,34,2,3
7,48,5,1
2,16,2,1
0,43,5,1
2,27,3,2
4,29,5,4
14,28,4,1
13,45,1,2
2,5,5,0
4,40,1,12
13,36,4,10
6,23,2,7
8,28,5,1
14,48,1,1
14,45,3,2
9,30,1,9
12,34,3,3
18,32,4,0
6,20,2,1
16,31,1,5
19,22,5,7
3,32,4,0
4,2,1,2
6,17,5,2
12,24,1,3
14,41,3,13
10,30,1,9
3,2,1,2
12,39,1,6
18,23,1,7
1,49,5,2
9,31,3,5
12,46,3,3
5,21,1,6
11,22,4,7
11,1,4,1
19,26,5,8
10,41,1,13
6,1,3,1
0,25,4,2
0,16,1,1
19,39,4,6
12,32,4,0
8,8,3,3
2,42,2,13
6,47,5,0
5,38,5,11
7,28,3,1
8,41,4,13
4,25,1,2
0,34,4,3
18,49,3,2
9,24,5,3
11,23,4,7
14,12,5,3
8,6,1,1
19,35,5,1
16,44,5,8
16,19,2,5
19,0,2,0
11,7,2,4
6,45,5,2
1,15,3,4
2,13,5,5
16,11,3,0
16,14,2,3
16,27,4,2
16,33,1,0
1,1,2,1
1,31,2,5
4,22,4,7
0,21,1,6
0,24,5,3
18,21,5,6
1,21,2,6
11,48,1,1
5,41,2,13
3,5,3,0
10,14,2,3
16,42,2,13
5,36,5,10
4,32,5,0
19,7,5,4
1,43,3,1
5,43,5,1
10,4,1,2
15,38,4,11
15,3,1,3
0,5,1,0
8,44,5,8
5,31,4,5
15,29,4,4
2,46,4,3
19,34,3,3
3,39,5,6
18,15,4,4
